@relation 'Haralick Medial Tibia ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',0.775,0.0741,0.549,36.5,0.963,12.1,147,0.516,0.819,0.0712,0.264,-0.298,0.499,0.125,Nor
'Medial Tibia of Normal_10.jpg',0.438,0.184,0.556,18.4,0.908,8.57,74.1,0.943,1.55,0.154,0.478,-0.247,0.594,0.276,Nor
'Medial Tibia of Normal_11.jpg',0.705,0.0652,0.724,17,0.967,8.26,68.6,0.583,0.907,0.0646,0.241,-0.463,0.649,0.174,Nor
'Medial Tibia of Normal_12.jpg',0.851,0.0607,0.34,24.4,0.97,9.91,98.3,0.326,0.53,0.0611,0.229,-0.14,0.277,0.101,Nor
'Medial Tibia of Normal_13.jpg',0.533,0.162,0.523,27,0.919,10.4,109,0.839,1.37,0.137,0.442,-0.228,0.545,0.223,Nor
'Medial Tibia of Normal_14.jpg',0.648,0.122,0.506,26.4,0.939,10.3,106,0.659,1.07,0.107,0.37,-0.228,0.491,0.184,Nor
'Medial Tibia of Normal_15.jpg',0.358,0.199,0.588,21.2,0.901,9.19,85.2,1.03,1.69,0.165,0.499,-0.268,0.638,0.35,Nor
'Medial Tibia of Normal_16.jpg',0.468,0.212,0.505,15.3,0.894,7.79,61.4,1.05,1.73,0.175,0.517,-0.203,0.568,0.19,Nor
'Medial Tibia of Normal_17.jpg',0.672,0.136,0.385,16.7,0.932,8.17,67.1,0.665,1.1,0.118,0.398,-0.144,0.396,0.15,Nor
'Medial Tibia of Normal_18.jpg',0.308,0.242,0.571,30.3,0.879,11,122,1.2,1.97,0.197,0.553,-0.239,0.643,0.36,Nor
'Medial Tibia of Normal_19.jpg',0.343,0.223,0.561,21.5,0.888,9.24,86.2,1.11,1.82,0.183,0.531,-0.24,0.626,0.33,Nor
'Medial Tibia of Normal_2.jpg',0.362,0.274,0.377,28.4,0.863,10.7,114,1,1.72,0.221,0.587,-0.11,0.426,0.261,Nor
'Medial Tibia of Normal_20.jpg',0.564,0.154,0.538,26.4,0.923,10.3,106,0.859,1.39,0.131,0.43,-0.243,0.566,0.197,Nor
'Medial Tibia of Normal_21.jpg',0.391,0.215,0.545,28.1,0.893,10.6,113,1.07,1.76,0.177,0.52,-0.228,0.604,0.281,Nor
'Medial Tibia of Normal_22.jpg',0.312,0.227,0.634,21.4,0.887,9.22,86.1,1.25,2.04,0.186,0.537,-0.292,0.708,0.346,Nor
'Medial Tibia of Normal_23.jpg',0.66,0.127,0.463,23.9,0.937,9.77,95.9,0.668,1.09,0.111,0.38,-0.202,0.466,0.168,Nor
'Medial Tibia of Normal_24.jpg',0.258,0.314,0.579,28.4,0.845,10.6,114,1.42,2.37,0.252,0.628,-0.218,0.664,0.285,Nor
'Medial Tibia of Normal_25.jpg',0.607,0.148,0.457,23.6,0.926,9.71,94.7,0.736,1.21,0.127,0.419,-0.184,0.466,0.187,Nor
'Medial Tibia of Normal_26.jpg',0.511,0.179,0.493,17.7,0.91,8.4,71,0.882,1.45,0.15,0.47,-0.201,0.526,0.223,Nor
'Medial Tibia of Normal_27.jpg',0.367,0.223,0.516,28.8,0.889,10.7,116,1.02,1.69,0.183,0.53,-0.206,0.567,0.309,Nor
'Medial Tibia of Normal_28.jpg',0.332,0.23,0.569,21.5,0.885,9.25,86.3,1.15,1.88,0.188,0.54,-0.246,0.64,0.33,Nor
'Medial Tibia of Normal_29.jpg',0.34,0.22,0.557,19.6,0.89,8.83,78.8,1.08,1.77,0.18,0.526,-0.237,0.615,0.347,Nor
'Medial Tibia of Normal_3.jpg',0.801,0.0865,0.314,16,0.957,8.01,64.3,0.463,0.754,0.0805,0.294,-0.126,0.31,0.0802,Nor
'Medial Tibia of Normal_30.jpg',0.493,0.187,0.575,25.7,0.906,10.1,103,1.05,1.7,0.156,0.482,-0.262,0.633,0.174,Nor
'Medial Tibia of Normal_31.jpg',0.363,0.202,0.575,21.3,0.899,9.22,85.8,1.03,1.68,0.167,0.504,-0.256,0.625,0.338,Nor
'Medial Tibia of Normal_32.jpg',0.447,0.15,0.646,28.2,0.925,10.6,113,0.922,1.48,0.128,0.424,-0.337,0.671,0.297,Nor
'Medial Tibia of Normal_33.jpg',0.538,0.161,0.518,23.1,0.92,9.61,92.8,0.826,1.35,0.136,0.441,-0.227,0.541,0.221,Nor
'Medial Tibia of Normal_34.jpg',0.424,0.196,0.532,28.1,0.902,10.6,113,0.951,1.57,0.163,0.495,-0.224,0.572,0.278,Nor
'Medial Tibia of Normal_35.jpg',0.474,0.176,0.549,18,0.912,8.48,72.5,0.926,1.51,0.148,0.466,-0.242,0.584,0.251,Nor
'Medial Tibia of Normal_36.jpg',0.344,0.23,0.653,24.1,0.885,9.79,96.9,1.3,2.1,0.188,0.539,-0.313,0.736,0.221,Nor
'Medial Tibia of Normal_37.jpg',0.438,0.196,0.517,22.3,0.902,9.44,89.7,0.934,1.54,0.163,0.495,-0.213,0.555,0.267,Nor
'Medial Tibia of Normal_38.jpg',0.409,0.199,0.604,22.8,0.9,9.53,91.7,1.11,1.81,0.165,0.499,-0.281,0.668,0.258,Nor
